,Nboot,NSim,N,AtoB,AtoC,BtoC,typeA,powIE,powTE,powDE,powa,powb
0,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,2.000000000000000111e-01,-2.999999999999999889e-01,9.900000000000000000e+01,2.900000000000000147e-02,1.640000000000000069e-01,1.330000000000000071e-01,1.869999999999999996e-01,8.599999999999999312e-02
1,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,4.000000000000000222e-01,0.000000000000000000e+00,9.900000000000000000e+01,2.500000000000000139e-02,1.630000000000000060e-01,1.439999999999999891e-01,8.799999999999999489e-02,1.729999999999999871e-01
2,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.000000000000000111e-01,0.000000000000000000e+00,-4.000000000000000222e-01,9.900000000000000000e+01,2.400000000000000050e-02,1.409999999999999865e-01,9.500000000000000111e-02,2.349999999999999867e-01,5.999999999999999778e-02
3,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.000000000000000111e-01,-1.000000000000000056e-01,2.999999999999999889e-01,9.900000000000000000e+01,2.299999999999999961e-02,1.260000000000000009e-01,9.299999999999999933e-02,1.849999999999999978e-01,6.199999999999999956e-02
4,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,0.000000000000000000e+00,-1.000000000000000056e-01,9.900000000000000000e+01,1.000000000000000021e-02,1.650000000000000078e-01,1.120000000000000023e-01,1.010000000000000064e-01,6.300000000000000044e-02
5,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,-2.999999999999999889e-01,2.000000000000000111e-01,9.900000000000000000e+01,2.699999999999999969e-02,1.580000000000000016e-01,1.270000000000000018e-01,1.350000000000000089e-01,1.229999999999999982e-01
6,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-1.000000000000000056e-01,4.000000000000000222e-01,1.000000000000000000e+00,7.499999999999999722e-02,1.000000000000000000e+00,5.180000000000000160e-01,1.000000000000000000e+00,7.399999999999999634e-02
7,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,0.000000000000000000e+00,2.999999999999999889e-01,9.900000000000000000e+01,2.400000000000000050e-02,2.429999999999999938e-01,1.630000000000000060e-01,1.900000000000000022e-01,7.399999999999999634e-02
8,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.000000000000000111e-01,-1.000000000000000056e-01,0.000000000000000000e+00,9.900000000000000000e+01,7.000000000000000146e-03,1.310000000000000053e-01,8.999999999999999667e-02,8.200000000000000344e-02,7.099999999999999367e-02
9,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,-4.000000000000000222e-01,-2.999999999999999889e-01,9.900000000000000000e+01,4.299999999999999656e-02,2.049999999999999878e-01,1.140000000000000041e-01,1.819999999999999951e-01,1.719999999999999862e-01
10,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.000000000000000111e-01,-4.000000000000000222e-01,0.000000000000000000e+00,9.900000000000000000e+01,1.700000000000000122e-02,1.250000000000000000e-01,9.400000000000000022e-02,8.799999999999999489e-02,1.930000000000000049e-01
11,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,0.000000000000000000e+00,-2.999999999999999889e-01,1.000000000000000000e+00,6.300000000000000044e-02,1.000000000000000000e+00,7.429999999999999938e-01,1.000000000000000000e+00,6.300000000000000044e-02
12,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,1.000000000000000056e-01,-2.999999999999999889e-01,9.900000000000000000e+01,2.299999999999999961e-02,2.660000000000000142e-01,1.559999999999999998e-01,1.710000000000000131e-01,6.400000000000000133e-02
13,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,-2.000000000000000111e-01,0.000000000000000000e+00,9.900000000000000000e+01,1.299999999999999940e-02,1.779999999999999916e-01,1.459999999999999909e-01,1.079999999999999988e-01,9.700000000000000289e-02
14,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-1.000000000000000056e-01,-2.000000000000000111e-01,0.000000000000000000e+00,9.900000000000000000e+01,1.200000000000000025e-02,1.140000000000000041e-01,8.400000000000000522e-02,9.800000000000000377e-02,9.400000000000000022e-02
15,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000056e-01,9.900000000000000000e+01,2.599999999999999881e-02,9.800000000000000377e-02,5.000000000000000278e-02,1.130000000000000032e-01,1.620000000000000051e-01
16,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,2.999999999999999889e-01,-2.000000000000000111e-01,9.900000000000000000e+01,2.199999999999999872e-02,2.340000000000000135e-01,1.300000000000000044e-01,1.340000000000000080e-01,1.170000000000000068e-01
17,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,4.000000000000000222e-01,-4.000000000000000222e-01,0.000000000000000000e+00,9.900000000000000000e+01,1.000000000000000021e-02,2.149999999999999967e-01,1.769999999999999907e-01,8.400000000000000522e-02,1.690000000000000113e-01
18,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,-4.000000000000000222e-01,-1.000000000000000056e-01,9.900000000000000000e+01,2.599999999999999881e-02,1.809999999999999942e-01,1.250000000000000000e-01,1.079999999999999988e-01,1.789999999999999925e-01
19,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-1.000000000000000056e-01,-2.000000000000000111e-01,9.900000000000000000e+01,1.700000000000000122e-02,2.520000000000000018e-01,1.700000000000000122e-01,1.219999999999999973e-01,7.799999999999999989e-02
20,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,1.000000000000000056e-01,-2.999999999999999889e-01,1.000000000000000000e+00,8.300000000000000433e-02,9.989999999999999991e-01,7.059999999999999609e-01,1.000000000000000000e+00,8.000000000000000167e-02
21,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,9.900000000000000000e+01,1.700000000000000122e-02,2.409999999999999920e-01,1.729999999999999871e-01,1.429999999999999882e-01,9.600000000000000200e-02
22,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,4.000000000000000222e-01,4.000000000000000222e-01,0.000000000000000000e+00,9.900000000000000000e+01,2.100000000000000130e-02,2.340000000000000135e-01,1.690000000000000113e-01,9.099999999999999756e-02,1.680000000000000104e-01
23,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,1.000000000000000056e-01,-2.000000000000000111e-01,1.000000000000000000e+00,7.099999999999999367e-02,1.000000000000000000e+00,7.780000000000000249e-01,1.000000000000000000e+00,6.500000000000000222e-02
24,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,4.000000000000000222e-01,2.999999999999999889e-01,1.000000000000000000e+00,1.719999999999999862e-01,1.000000000000000000e+00,7.860000000000000320e-01,1.000000000000000000e+00,1.719999999999999862e-01
25,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-1.000000000000000056e-01,2.999999999999999889e-01,-2.999999999999999889e-01,9.900000000000000000e+01,3.599999999999999728e-02,9.500000000000000111e-02,7.399999999999999634e-02,1.719999999999999862e-01,1.419999999999999873e-01
26,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+00,6.500000000000000222e-02,1.000000000000000000e+00,5.869999999999999662e-01,1.000000000000000000e+00,6.300000000000000044e-02
27,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,-2.999999999999999889e-01,2.000000000000000111e-01,9.900000000000000000e+01,2.000000000000000042e-02,8.799999999999999489e-02,6.600000000000000311e-02,1.219999999999999973e-01,1.280000000000000027e-01
